"","Character","Occupation","Category","appearances","HigherCategory","Rank","Rank2","id"
"601","Eli Manning","American football quarterback for the New York Giants of the National Football League (NFL)","Athlete","1","Entertainer","-0.5","1","601"
"602","Eric Dickerson","former college and professional American football player who was a running back in the National Football League (NFL) for eleven seasons during the 1980s and 1990s","Athlete","2","Entertainer","-0.5","1","602"
"603","Florence Griffith Joyner","American track and field athlete, considered the fastest woman of all time","Athlete","1","Entertainer","-0.5","1","603"
"604","Floyd Mayweather","American former professional boxer who competed from 1996 to 2015, and currently works as a boxing promoter","Athlete","1","Entertainer","-0.5","1","604"
"605","Forrest Gregg","former American football player and coach in the National Football League (NFL) and the NCAA","Athlete","1","Entertainer","-0.5","1","605"
"606","Frank Robinson","American former Major League Baseball (MLB) outfielder and manager","Athlete","1","Entertainer","-0.5","1","606"
"607","Gary Fencik","retired professional American-football free safety and an executive with Adams Street Partners","Athlete","1","Entertainer","-0.5","1","607"
"608","George Foreman","American former professional boxer who competed from 1969 to 1977, and from 1987 to 1997","Athlete","1","Entertainer","-0.5","1","608"
"609","Gerry Cooney","American former professional boxer who competed from 1977 to 1990","Athlete","1","Entertainer","-0.5","1","609"
"610","Greg Anderson","personal trainer, best known for his work with Barry Bonds","Athlete","1","Entertainer","-0.5","1","610"
"611","Greg Norman","Australian professional golfer and entrepreneur who spent 331 weeks as the world's Number 1 Official World Golf Rankings ranked golfer in the 1980s and 1990s","Athlete","1","Entertainer","-0.5","1","611"
"612","Hank Aaron","retired American Major League Baseball (MLB) right fielder who is currently the senior vice president of the Atlanta Braves","Athlete","1","Entertainer","-0.5","1","612"
"613","Hank Haney","American professional golf instructor best known for coaching Tiger Woods and two-time major championship winner Mark O'Meara","Athlete","1","Entertainer","-0.5","1","613"
"614","Héctor Camacho","Puerto Rican professional boxer and singer","Athlete","1","Entertainer","-0.5","1","614"
"615","Herschel Walker","former professional American football player, bobsledder, sprinter and mixed martial artist","Athlete","1","Entertainer","-0.5","1","615"
"616","Hu Na","former professional tennis player, best known for defecting from the People's Republic of China to the U.S. in 1982, thereby sparking a Cold War-era diplomatic incident","Athlete","1","Entertainer","-0.5","1","616"
"617","Hulk Hogan","American semi-retired professional wrestler, actor, television personality, entrepreneur and rock bassist","Athlete","1","Entertainer","-0.5","1","617"
"618","J.C. Watts","American politician from Oklahoma who was a college football quarterback for the Oklahoma Sooners and later played professionally in the Canadian Football League","Athlete","1","Entertainer","-0.5","1","618"
"619","Jack Kemp","American politician and a professional gridiron football player","Athlete","1","Entertainer","-0.5","1","619"
"620","Jackie Stewart","British former Formula One racing driver from Scotland","Athlete","1","Entertainer","-0.5","1","620"
"621","Jake LaMotta","American retired professional boxer, former World Middleweight Champion, and stand-up comedian","Athlete","1","Entertainer","-0.5","1","621"
"622","Jake Roberts","American semi-retired professional wrestler and the son of former wrestler Aurelian ""Grizzly"" Smith","Athlete","1","Entertainer","-0.5","1","622"
"623","James Harrison","American football linebacker for the Pittsburgh Steelers of the National Football League (NFL)","Athlete","1","Entertainer","-0.5","1","623"
"624","Jamie Sale","Canadian pair skater","Athlete","1","Entertainer","-0.5","1","624"
"625","Jay Feely","former American football placekicker","Athlete","1","Entertainer","-0.5","1","625"
"626","Jeff Gillooly","American former figure skater","Athlete","2","Entertainer","-0.5","1","626"
"627","Jermaine Allensworth","American former professional baseball outfielder","Athlete","1","Entertainer","-0.5","1","627"
"628","Jerry Tarkanian","American basketball coach","Athlete","1","Entertainer","-0.5","1","628"
"629","Jesse Owens","American track and field athlete and four-time Olympic gold medalist in the 1936 games","Athlete","1","Entertainer","-0.5","1","629"
"630","Jim Brown","former professional American football player and actor","Athlete","1","Entertainer","-0.5","1","630"
"631","Jim McMahon","former American football player","Athlete","1","Entertainer","-0.5","1","631"
"632","Jim Palmer","retired American right-handed pitcher who played all of his 19 years in Major League Baseball (MLB) with the Baltimore Orioles (1965–67, 1969–84) and was elected to the Baseball Hall of Fame in 1990","Athlete","1","Entertainer","-0.5","1","632"
"633","Joaquin Andujar","Dominican professional baseball pitcher who played in Major League Baseball (MLB) for the Houston Astros","Athlete","1","Entertainer","-0.5","1","633"
"634","Joe DiMaggio","American Major League Baseball center fielder who played his entire 13-year career for the New York Yankees","Athlete","1","Entertainer","-0.5","1","634"
"635","John Daly","American professional golfer on the PGA tour","Athlete","1","Entertainer","-0.5","1","635"
"636","John McEnroe","American former World No. 1 professional tennis player, often rated among the greatest players of all time in the sport","Athlete","1","Entertainer","-0.5","1","636"
"637","John Newcombe","former tennis player from Australia who won seven Grand Slam singles titles and an all-time record 17 doubles titles","Athlete","2","Entertainer","-0.5","1","637"
"638","John Rocker","retired American Major League Baseball relief pitcher","Athlete","1","Entertainer","-0.5","1","638"
"639","John Stockton","American retired professional basketball player","Athlete","1","Entertainer","-0.5","1","639"
"640","Johnny Weir","American figure skater","Athlete","1","Entertainer","-0.5","1","640"
"641","Jose Canseco","Cuban-American former Major League Baseball (MLB) outfielder, and designated hitter","Athlete","1","Entertainer","-0.5","1","641"
"642","Julius Erving","American retired basketball player who helped popularize a modern style of play that emphasizes leaping and playing above the rim","Athlete","1","Entertainer","-0.5","1","642"
"643","Ken Anderson","former American football quarterback who spent his entire professional career playing for the Cincinnati Bengals of the National Football League (NFL) and later returned as a position coach","Athlete","1","Entertainer","-0.5","1","643"
"644","Ken Bone","American basketball coach who is currently an assistant men's basketball coach at Gonzaga University","Athlete","1","Entertainer","-0.5","1","644"
"645","Ken Norton","American professional boxer who competed from 1967 to 1981, and held the WBC heavyweight title from 1977 to 1978","Athlete","1","Entertainer","-0.5","1","645"
"646","Kenny Smith","American retired professional basketball player who played in the National Basketball Association (NBA)","Athlete","2","Entertainer","-0.5","1","646"
"647","Kerri Strug","American retired gymnast from Tucson, Arizona","Athlete","1","Entertainer","-0.5","1","647"
"648","Kevin Garnett","American former professional basketball player who played the power forward and center positions for 21 seasons in the National Basketball Association (NBA)","Athlete","1","Entertainer","-0.5","1","648"
"649","Kimbo Slice","Bahamian-born American mixed martial artist, boxer and occasional actor","Athlete","1","Entertainer","-0.5","1","649"
"650","Kobe Bryant","American retired professional basketball player and businessman","Athlete","1","Entertainer","-0.5","1","650"
"651","Kris Humphries","American professional basketball player for the Atlanta Hawks of the National Basketball Association (NBA)","Athlete","1","Entertainer","-0.5","1","651"
"652","Lamar Odom","American retired professional basketball player","Athlete","1","Entertainer","-0.5","1","652"
"653","Lance Armstrong","American former professional road racing cyclist","Athlete","1","Entertainer","-0.5","1","653"
"654","Leon Jenkins","former defensive back in the NFL","Athlete","1","Entertainer","-0.5","1","654"
"655","Leon Spinks","American former professional boxer who competed from 1977 to 1995","Athlete","2","Entertainer","-0.5","1","655"
"656","Lou Gehrig","American baseball first baseman who played 17 seasons in Major League Baseball (MLB) for the New York Yankees, from 1923 through 1939","Athlete","1","Entertainer","-0.5","1","656"
"657","Lyle Alzado","professional American football defensive end of the National Football League famous for his intense and intimidating style of play","Athlete","1","Entertainer","-0.5","1","657"
"658","Magic Johnson","American retired professional basketball player who played point guard for the Los Angeles Lakers of the National Basketball Association (NBA) for 13 seasons","Athlete","1","Entertainer","-0.5","1","658"
"659","Manny Machado","Dominican-American professional baseball third baseman and shortstop for the Baltimore Orioles of Major League Baseball (MLB)","Athlete","1","Entertainer","-0.5","1","659"
"660","Manti Te'o","American football inside linebacker for the Los Angeles Chargers of the National Football League (NFL)","Athlete","1","Entertainer","-0.5","1","660"
"661","Mark McGwire","American former professional baseball player and currently a bench coach in Major League Baseball (MLB)","Athlete","2","Entertainer","-0.5","1","661"
"662","Mark Spitz","American former competitive swimmer, nine-time Olympic champion, and former world record-holder in seven events","Athlete","1","Entertainer","-0.5","1","662"
"663","Marshawn Lynch","former American football running back","Athlete","1","Entertainer","-0.5","1","663"
"664","Martina Navratilova","retired Czech and American tennis player and coach","Athlete","3","Entertainer","-0.5","1","664"
"665","Marv Levy","former American and Canadian football coach, front office executive, and author","Athlete","1","Entertainer","-0.5","1","665"
"666","Mary Lou Retton","retired American gymnast","Athlete","1","Entertainer","-0.5","1","666"
"667","Matt Prater","American football placekicker for the Detroit Lions of the National Football League (NFL)","Athlete","1","Entertainer","-0.5","1","667"
"668","Maury Buford","American football punter in the National Football League for the San Diego Chargers, the Chicago Bears and the New York Giants","Athlete","1","Entertainer","-0.5","1","668"
"669","Michelle Kwan","American figure skater","Athlete","1","Entertainer","-0.5","1","669"
"670","Mickey Rivers","American former baseball player who played in Major League Baseball from 1970 to 1984 for the California Angels, New York Yankees, and Texas Rangers","Athlete","1","Entertainer","-0.5","1","670"
"671","Mike Krzyzewski","American college basketball coach and former player","Athlete","1","Entertainer","-0.5","1","671"
"672","Mike Schmidt","American former professional baseball third baseman who played 18 seasons in Major League Baseball (MLB) for the Philadelphia Phillies","Athlete","1","Entertainer","-0.5","1","672"
"673","Mike Tyson","American former professional boxer who competed from 1985 to 2005","Athlete","4","Entertainer","-0.5","1","673"
"674","Monica Seles","former Yugoslav world no. 1 professional tennis player and a member of the International Tennis Hall of Fame","Athlete","3","Entertainer","-0.5","1","674"
"675","Muhammad Ali","American professional boxer and activist","Athlete","4","Entertainer","-0.5","1","675"
"676","Nadia Comaneci","Romanian former gymnast who, at the age of 14, became the first gymnast in Olympic history to be awarded the perfect score of 10","Athlete","2","Entertainer","-0.5","1","676"
"677","Nathaniel Crosby","American golfer","Athlete","1","Entertainer","-0.5","1","677"
"678","Nikki Washington","American retired professional soccer forward and right midfielder who last played for Boston Breakers in the National Women's Soccer League (NWSL)","Athlete","1","Entertainer","-0.5","1","678"
"679","Oksana Baiul","Ukrainian former competitive figure skater","Athlete","1","Entertainer","-0.5","1","679"
"680","Olga Korbut","Belarusian former gymnast","Athlete","1","Entertainer","-0.5","1","680"
"681","Ozzie Guillén","Venezuelan former professional baseball player and manager","Athlete","1","Entertainer","-0.5","1","681"
"682","Pat Riley","American professional basketball executive, and a former coach and player in the National Basketball Association (NBA)","Athlete","1","Entertainer","-0.5","1","682"
"683","Peggy Fleming","American former figure skater","Athlete","1","Entertainer","-0.5","1","683"
"684","Pete Carroll","American football coach who is the head coach and executive vice president of the Seattle Seahawks of the National Football League (NFL)","Athlete","1","Entertainer","-0.5","1","684"
"685","Pete Rose","American former professional baseball player and manager","Athlete","2","Entertainer","-0.5","1","685"
"686","Peyton Manning","former American football quarterback who played 18 seasons in the National Football League (NFL), primarily with the Indianapolis Colts","Athlete","2","Entertainer","-0.5","1","686"
"687","Phil Gordon","American professional poker player, commentator and author","Athlete","1","Entertainer","-0.5","1","687"
"688","Phil Simms","former American football quarterback who spent his entire 14-year professional career playing for the New York Giants of the National Football League (NFL)","Athlete","2","Entertainer","-0.5","1","688"
"689","Picabo Street","American former World Cup alpine ski racer and Olympic gold medalist","Athlete","1","Entertainer","-0.5","1","689"
"690","Plaxico Burress","former American football wide receiver","Athlete","1","Entertainer","-0.5","1","690"
"691","Ray Lewis","former American football linebacker who played his entire 17-year career for the Baltimore Ravens of the National Football League (NFL)","Athlete","3","Entertainer","-0.5","1","691"
"692","Reggie White","professional American football player who was a defensive end in the National Football League (NFL) for 15 seasons during the 1980s and 1990s","Athlete","1","Entertainer","-0.5","1","692"
"693","Ric Flair","American professional wrestling manager and retired professional wrestler signed to WWE under its Legends program","Athlete","1","Entertainer","-0.5","1","693"
"694","Richard Sherman","American football cornerback for the Seattle Seahawks of the NFL","Athlete","1","Entertainer","-0.5","1","694"
"695","Richard Williams","American tennis coach and father of Venus and Serena Williams","Athlete","1","Entertainer","-0.5","1","695"
"696","Rob Gronkowski","American football tight end for the New England Patriots of the National Football League (NFL)","Athlete","1","Entertainer","-0.5","1","696"
"697","Rodney Harrison","former professional football player of the National Football League","Athlete","1","Entertainer","-0.5","1","697"
"698","Roger Clemens","retired American baseball pitcher who played 24 seasons in Major League Baseball (MLB) for four teams","Athlete","1","Entertainer","-0.5","1","698"
"699","Ron Artest","American professional basketball player for the Los Angeles Lakers of the National Basketball Association (NBA)","Athlete","1","Entertainer","-0.5","1","699"
"700","Ross Rebagliati","Canadian professional snowboarder, Olympic Gold Medal Winner and founder of Ross' Gold, a Canadian medical cannabis branding company","Athlete","1","Entertainer","-0.5","1","700"
"701","Rubin Carter","middleweight boxer who was wrongfully convicted of murder and later released following a petition of habeas corpus after spending almost 20 years in prison","Athlete","2","Entertainer","-0.5","1","701"
"702","Rudy Galindo","American figure skater who competed in both single skating and pair skating","Athlete","1","Entertainer","-0.5","1","702"
"703","Ryan Lochte","American competitive swimmer, a 12-time Olympic medalist (six gold, three silver, three bronze), which ranks him second in swimming behind Michael Phelps","Athlete","1","Entertainer","-0.5","1","703"
"704","Sammy Sosa","Dominican former professional baseball right fielder","Athlete","1","Entertainer","-0.5","1","704"
"705","Sarah Hughes","American former figure skater","Athlete","1","Entertainer","-0.5","1","705"
"706","Sasha Cohen","American figure skater","Athlete","1","Entertainer","-0.5","1","706"
"707","Scott Hamilton","Retired American figure skater and Olympic gold medalist","Athlete","3","Entertainer","-0.5","1","707"
"708","Serena Williams","American professional tennis player","Athlete","2","Entertainer","-0.5","1","708"
"709","Shaun White","American professional snowboarder and skateboarder","Athlete","1","Entertainer","-0.5","1","709"
"710","Shawn Eckhardt","American former figure skater","Athlete","1","Entertainer","-0.5","1","710"
"711","Tiger Woods","American professional golfer who is among the most successful golfers of all time","Athlete","3","Entertainer","-0.5","1","711"
"712","Tim Tebow","American professional baseball outfielder in the New York Mets organization and a former professional American football player","Athlete","2","Entertainer","-0.5","1","712"
"713","Tom Brady","American football quarterback for the New England Patriots of the National Football League (NFL)","Athlete","3","Entertainer","-0.5","1","713"
"714","Tommy Lasorda","former Major League Baseball player who has had a lengthy career in sports management","Athlete","1","Entertainer","-0.5","1","714"
"715","Tony Dungy","former professional American football player and coach in the National Football League (NFL)","Athlete","1","Entertainer","-0.5","1","715"
"716","Tonya Harding","American former figure skater","Athlete","4","Entertainer","-0.5","1","716"
"717","Tracy Wilson","Canadian ice dancer","Athlete","1","Entertainer","-0.5","1","717"
"718","Troy Polamalu","former American football strong safety of Samoan descent who played his entire twelve-year career for the Pittsburgh Steelers of the National Football League (NFL)","Athlete","1","Entertainer","-0.5","1","718"
"719","Vanessa Laine","American retired professional basketball player and businessman","Athlete","1","Entertainer","-0.5","1","719"
"720","Vasiliy Alekseyev","Soviet weightlifter","Athlete","1","Entertainer","-0.5","1","720"
"721","Venus Williams","American professional tennis player who is generally regarded as one of the all-time greats of women's tennis","Athlete","2","Entertainer","-0.5","1","721"
"722","Victor Cruz","American football wide receiver","Athlete","1","Entertainer","-0.5","1","722"
"723","William ""The Refrigerator"" Perry","former American professional football player who was a defensive lineman in the National Football League (NFL) for ten seasons during the 1980s and 1990s","Athlete","2","Entertainer","-0.5","1","723"
"724","Willie Gault","former American football wide receiver and Olympic athlete","Athlete","1","Entertainer","-0.5","1","724"
"725","Willie Randolph","American former Major League Baseball second baseman and manager","Athlete","1","Entertainer","-0.5","1","725"
"726","Wilt Chamberlain","American basketball player","Athlete","1","Entertainer","-0.5","1","726"
"727","Woody Hayes","American football player and coach","Athlete","1","Entertainer","-0.5","1","727"
"728","Akbar Gbaja-Biamila","former professional American football player who currently is the co-host for American Ninja Warrior and works as a sports analyst for the NFL Network","Athlete / News Entertainer","1","Entertainer","-0.5","1","728"
"729","Bruce Jenner","American television personality and retired Olympic gold medal-winning decathlete","Athlete / News Entertainer","4","Entertainer","-0.5","1","729"
"730","Charles Barkley","American retired professional basketball player and current analyst on the television program Inside the NBA","Athlete / News Entertainer","16","Entertainer","-0.5","1","730"
"731","Chrystie Crownover","American television personality and retired Olympic gold medal-winning decathlete","Athlete / News Entertainer","1","Entertainer","-0.5","1","731"
"732","Dan Dierdorf","former American football offensive lineman and current sportscaster","Athlete / News Entertainer","1","Entertainer","-0.5","1","732"
"733","Deion Sanders","former American football and baseball player who works as an analyst for CBS Sports and the NFL Network","Athlete / News Entertainer","1","Entertainer","-0.5","1","733"
"734","Diana Nyad","American author, journalist, motivational speaker, and long-distance swimmer","Athlete / News Entertainer","1","Entertainer","-0.5","1","734"
"735","Dick Button","American former figure skater and a well-known long-time skating television analyst","Athlete / News Entertainer","1","Entertainer","-0.5","1","735"
"736","Frank Gifford","American football player and television sports commentator","Athlete / News Entertainer","4","Entertainer","-0.5","1","736"
"737","Howie Long","American former National Football League (NFL) defensive end, actor and sports analyst","Athlete / News Entertainer","1","Entertainer","-0.5","1","737"
"738","Jimmy Johnson","American football broadcaster, former player, coach and executive","Athlete / News Entertainer","2","Entertainer","-0.5","1","738"
"739","Joe Garagiola","American professional baseball catcher, later an announcer and television host, popular for his colorful personality","Athlete / News Entertainer","2","Entertainer","-0.5","1","739"
"740","John Kruk","American former Major League Baseball player and former baseball analyst for ESPN","Athlete / News Entertainer","3","Entertainer","-0.5","1","740"
"741","John Madden","former American football coach and broadcaster for the National Football League","Athlete / News Entertainer","1","Entertainer","-0.5","1","741"
"742","Michael Irvin","retired American football player, actor, and sports commentator","Athlete / News Entertainer","1","Entertainer","-0.5","1","742"
"743","Michael Strahan","media personality and former American football defensive end who spent his entire 15-year career with the New York Giants of the National Football League (NFL)","Athlete / News Entertainer","2","Entertainer","-0.5","1","743"
"744","Mike Ditka","former American football player, coach, and television commentator","Athlete / News Entertainer","3","Entertainer","-0.5","1","744"
"745","Nick Faldo","English professional golfer on the European Tour, now mainly an on-air golf analyst","Athlete / News Entertainer","1","Entertainer","-0.5","1","745"
"746","Shannon Sharpe","TV presenter who appears on Skip and Shannon: Undisputed, and a former American football tight end as well as a former analyst for CBS Sports on its NFL telecasts","Athlete / News Entertainer","3","Entertainer","-0.5","1","746"
"747","Shaquille O'Neal","retired American professional basketball player and former rapper who is currently an analyst on the television program Inside the NBA","Athlete / News Entertainer","9","Entertainer","-0.5","1","747"
"748","Steve Tasker","American broadcaster for CBS Sports, who used to be a wide receiver/gunner in the National Football League","Athlete / News Entertainer","1","Entertainer","-0.5","1","748"
"749","Tara Lipinski","American figure skater, actress, and sports commentator","Athlete / News Entertainer","2","Entertainer","-0.5","1","749"
"750","Tim McCarver","American sportscaster and former professional baseball catcher","Athlete / News Entertainer","1","Entertainer","-0.5","1","750"
"751","Vince McMahon","American professional wrestling promoter, former commentator, announcer, film producer, actor, and retired professional wrestler","Athlete / News Entertainer","1","Entertainer","-0.5","1","751"
"752","50 Cent","American rapper, actor, businessman, and investor","Musical / Acting Entertainer","1","Entertainer","-0.5","1","752"
"753","Abigail Breslin","American actress and singer","Musical / Acting Entertainer","1","Entertainer","-0.5","1","753"
"754","Adam Duritz","American musician, songwriter, record producer, and film producer","Musical / Acting Entertainer","2","Entertainer","-0.5","1","754"
"755","Adam Lambert","American singer, songwriter and stage actor","Musical / Acting Entertainer","2","Entertainer","-0.5","1","755"
"756","Adam Levine","American singer, songwriter, multi-instrumentalist, actor, and record producer","Musical / Acting Entertainer","2","Entertainer","-0.5","1","756"
"757","Adam Sandler","American actor, comedian, screenwriter, film producer, and musician","Musical / Acting Entertainer","2","Entertainer","-0.5","1","757"
"758","Alan Arkin","American actor, director, comedian, musician, and singer","Musical / Acting Entertainer","1","Entertainer","-0.5","1","758"
"759","Alan Thicke","Canadian actor, songwriter, game and talk show host","Musical / Acting Entertainer","1","Entertainer","-0.5","1","759"
"760","Alanis Morissette","Canadian-American alternative rock singer-songwriter, musician, multi-instrumentalist, record producer, and actress","Musical / Acting Entertainer","3","Entertainer","-0.5","1","760"
"761","Alfonso Ribeiro","American actor, television director, dancer, and show host","Musical / Acting Entertainer","1","Entertainer","-0.5","1","761"
"762","Alicia Keys","American singer, songwriter, pianist and actress","Musical / Acting Entertainer","1","Entertainer","-0.5","1","762"
"763","Allison Williams","American actress, comedian, and singer best known for her role as Marnie Michaels on the HBO comedy-drama series Girls","Musical / Acting Entertainer","1","Entertainer","-0.5","1","763"
"764","Andre 3000","American rapper, singer, songwriter, record producer, dancer, and actor, best known for being part of hip hop duo Outkast alongside fellow rapper Big Boi","Musical / Acting Entertainer","2","Entertainer","-0.5","1","764"
"765","Andy Dick","American comedian, actor, musician, and television and film producer","Musical / Acting Entertainer","4","Entertainer","-0.5","1","765"
"766","Andy Griffith","American actor, television producer, Southern gospel singer, and writer","Musical / Acting Entertainer","1","Entertainer","-0.5","1","766"
"767","Angela Lansbury","British-American-Irish actress who has appeared in theatre, television and film, as well as a producer, singer and songwriter","Musical / Acting Entertainer","1","Entertainer","-0.5","1","767"
"768","Ann Miller","American dancer, singer and actress","Musical / Acting Entertainer","4","Entertainer","-0.5","1","768"
"769","Ann-Margret","Swedish-American actress, singer, and dancer","Musical / Acting Entertainer","4","Entertainer","-0.5","1","769"
"770","Anne Hathaway","American actress and singer","Musical / Acting Entertainer","1","Entertainer","-0.5","1","770"
"771","Annette Funicello","American actress and singer","Musical / Acting Entertainer","2","Entertainer","-0.5","1","771"
"772","Antonio Banderas","Spanish actor, director, singer, and producer","Musical / Acting Entertainer","5","Entertainer","-0.5","1","772"
"773","apl.de.ap","Filipino American rapper, record producer, singer and musician best known as a member of the Grammy Award-winning hip hop group The Black Eyed Peas","Musical / Acting Entertainer","2","Entertainer","-0.5","1","773"
"774","Ariana Grande","American singer and actress","Musical / Acting Entertainer","1","Entertainer","-0.5","1","774"
"775","Art Garfunkel","American singer, poet and actor","Musical / Acting Entertainer","1","Entertainer","-0.5","1","775"
"776","Ashley Parker Angel","American singer, songwriter and actor who rose to fame with the boyband O-Town","Musical / Acting Entertainer","1","Entertainer","-0.5","1","776"
"777","Ava Gardner","American actress and singer","Musical / Acting Entertainer","1","Entertainer","-0.5","1","777"
"778","Avril Lavigne","Canadian singer-songwriter and actress","Musical / Acting Entertainer","2","Entertainer","-0.5","1","778"
"779","Axl Rose","American singer, songwriter, record producer and musician","Musical / Acting Entertainer","5","Entertainer","-0.5","1","779"
"780","Azealia Banks","American rapper, singer-songwriter, and actress","Musical / Acting Entertainer","1","Entertainer","-0.5","1","780"
"781","B.B. King","American blues singer, electric guitarist, songwriter, and record producer","Musical / Acting Entertainer","2","Entertainer","-0.5","1","781"
"782","Babyface","American singer, songwriter and record producer","Musical / Acting Entertainer","1","Entertainer","-0.5","1","782"
"783","Barbara Mandrell","American country music singer, musician, and actress","Musical / Acting Entertainer","2","Entertainer","-0.5","1","783"
"784","Barbra Streisand","American singer, songwriter, actress, and filmmaker","Musical / Acting Entertainer","7","Entertainer","-0.5","1","784"
"785","Barry Gibb","British singer, songwriter and record producer who rose to worldwide fame as a co-founder of the group Bee Gees","Musical / Acting Entertainer","6","Entertainer","-0.5","1","785"
"786","Barry Manilow","American singer-songwriter, arranger, musician, and producer with a career that has spanned over 50 years","Musical / Acting Entertainer","1","Entertainer","-0.5","1","786"
"787","Bea Arthur","American actress, comedian, singer, and animal rights activist","Musical / Acting Entertainer","2","Entertainer","-0.5","1","787"
"788","Ben Vereen","American actor, dancer, and singer who has appeared in numerous Broadway theatre shows","Musical / Acting Entertainer","1","Entertainer","-0.5","1","788"
"789","Bert Convy","American actor, singer, game show host and panelist known for his tenure as the host for Tattletales, Super Password, and Win, Lose or Draw","Musical / Acting Entertainer","4","Entertainer","-0.5","1","789"
"790","Betty Grable","American actress, pin-up girl, dancer, and singer","Musical / Acting Entertainer","1","Entertainer","-0.5","1","790"
"791","Beyoncé","American singer, songwriter and actress","Musical / Acting Entertainer","12","Entertainer","-0.5","1","791"
"792","Bill Cosby","American stand-up comedian, actor, author, and singer","Musical / Acting Entertainer","16","Entertainer","-0.5","1","792"
"793","Billie Joe Armstrong","American musician, singer, songwriter and actor who is best known as the lead vocalist, primary songwriter, and guitarist of the punk rock band Green Day, which he co-founded with Mike Dirnt","Musical / Acting Entertainer","1","Entertainer","-0.5","1","793"
"794","Billy Bob Thornton","American actor, filmmaker, singer, songwriter, and musician","Musical / Acting Entertainer","5","Entertainer","-0.5","1","794"
"795","Billy Dee Williams","American actor, artist, singer, and writer","Musical / Acting Entertainer","3","Entertainer","-0.5","1","795"
"796","Billy Idol","English musician, singer, songwriter, and actor","Musical / Acting Entertainer","3","Entertainer","-0.5","1","796"
"797","Billy Ray Cyrus","American singer, songwriter and actor","Musical / Acting Entertainer","6","Entertainer","-0.5","1","797"
"798","Bing Crosby","American singer and actor","Musical / Acting Entertainer","3","Entertainer","-0.5","1","798"
"799","Bjork","Icelandic singer, songwriter, producer, DJ, and actress","Musical / Acting Entertainer","6","Entertainer","-0.5","1","799"
"800","Blake Shelton","American singer, songwriter, and television personality","Musical / Acting Entertainer","1","Entertainer","-0.5","1","800"
"801","Bob Hope","American comedian, vaudevillian, actor, singer, dancer, athlete, and author","Musical / Acting Entertainer","2","Entertainer","-0.5","1","801"
"802","Bobby Brown","American singer, songwriter, rapper, dancer and actor","Musical / Acting Entertainer","4","Entertainer","-0.5","1","802"
"803","Brett Somers","Canadian-American actress, singer, and game show personality","Musical / Acting Entertainer","1","Entertainer","-0.5","1","803"
"804","Brian Wilson","American musician, singer, songwriter, and record producer best known for being the multi-tasking leader and co-founder of the rock band the Beach Boys","Musical / Acting Entertainer","1","Entertainer","-0.5","1","804"
"805","Brigitte Bardot","French actress, singer and fashion model, who later became an animal rights activist","Musical / Acting Entertainer","1","Entertainer","-0.5","1","805"
"806","Brigitte Nielsen","naturalised-Italian, Danish-born actress, model, singer and reality television personality who began her career modelling","Musical / Acting Entertainer","3","Entertainer","-0.5","1","806"
"807","Britney Spears","American singer, dancer and actress","Musical / Acting Entertainer","8","Entertainer","-0.5","1","807"
"808","Britt Ekland","Swedish film, stage, and television actress, and singer","Musical / Acting Entertainer","1","Entertainer","-0.5","1","808"
"809","Brittany Murphy","American film and stage actress, singer, and voice artist","Musical / Acting Entertainer","1","Entertainer","-0.5","1","809"
"810","Brittny Kissinger","actress, best known for playing Annie on Broadway as a child","Musical / Acting Entertainer","1","Entertainer","-0.5","1","810"
"811","Bruce Vilanch","American comedy writer, songwriter and actor","Musical / Acting Entertainer","3","Entertainer","-0.5","1","811"
"812","Bruno Mars","American singer-songwriter, multi-instrumentalist, record producer, and choreographer","Musical / Acting Entertainer","1","Entertainer","-0.5","1","812"
"813","Burt Bacharach","American composer, songwriter, record producer, pianist, and singer","Musical / Acting Entertainer","2","Entertainer","-0.5","1","813"
"814","Busta Rhymes","American recording artist, actor, record producer and record executive","Musical / Acting Entertainer","2","Entertainer","-0.5","1","814"
"815","Carmen Electra","American glamour model, actress, television personality, singer, and dancer","Musical / Acting Entertainer","1","Entertainer","-0.5","1","815"
"816","Carol Channing","American actress, singer, dancer, comedian, and voice artist","Musical / Acting Entertainer","1","Entertainer","-0.5","1","816"
"817","Catherine Deneuve","French actress as well as an occasional singer, model and producer","Musical / Acting Entertainer","2","Entertainer","-0.5","1","817"
"818","Cee Lo Green","American singer, rapper, songwriter, record producer, actor, and businessman","Musical / Acting Entertainer","4","Entertainer","-0.5","1","818"
"819","Cesar Romero","American actor, singer, dancer, voice artist, and comedian who was active in film, radio, and television for almost 60 years","Musical / Acting Entertainer","2","Entertainer","-0.5","1","819"
"820","Charlie Chaplin","English comic actor, filmmaker, and composer who rose to fame during the era of silent film","Musical / Acting Entertainer","2","Entertainer","-0.5","1","820"
"821","Charlyne Yi","American actress, comedian, musician, and writer","Musical / Acting Entertainer","1","Entertainer","-0.5","1","821"
"822","Charo","Spanish-American actress, comedian, and flamenco guitarist","Musical / Acting Entertainer","5","Entertainer","-0.5","1","822"
"823","Chaz Bono","American advocate, writer, musician and actor","Musical / Acting Entertainer","1","Entertainer","-0.5","1","823"
"824","Cher","American singer and actress","Musical / Acting Entertainer","5","Entertainer","-0.5","1","824"
"825","Cheryl Ladd","American actress, singer, and author","Musical / Acting Entertainer","1","Entertainer","-0.5","1","825"
